target_id	TF_id	cor	p	in_fimo	target_name	TF_name	cor_sign
Mp1g05630.1	Mp1g08660.1	0.806461394015486	0.000281133192578054	FALSE	Mp1g05630.1	NFX1-1	pos
Mp1g07070.1	Mp1g08660.1	0.820660371579171	0.000177696653859361	FALSE	ARF3	NFX1-1	pos
Mp1g01010.1	Mp1g08890.1	-0.855251179362014	4.81980017899009e-05	FALSE	HD9	WRKY5	neg
Mp1g01160.1	Mp1g08890.1	0.853376434903332	5.21551243228835e-05	FALSE	BHLH34	WRKY5	pos
Mp1g01960.1	Mp1g08890.1	0.924680041366813	8.20511598220719e-07	FALSE	Mp1g01960.1	WRKY5	pos
Mp1g03100.1	Mp1g08890.1	0.975619896488773	6.07704553345911e-10	FALSE	TRIHELIX26	WRKY5	pos
Mp1g03200.1	Mp1g08890.1	0.940202382845729	1.90161882240858e-07	FALSE	Mp1g03200.1	WRKY5	pos
Mp1g04550.1	Mp1g08890.1	-0.806033648422313	0.000284881974720097	FALSE	CCAAT-NFYC1	WRKY5	neg
Mp1g07070.1	Mp1g08890.1	0.948810090975214	7.07109664155325e-08	FALSE	ARF3	WRKY5	pos
Mp1g01110.1	Mp1g08960.1	0.873192416118787	2.1335259543509e-05	FALSE	BHLH33	WRKY6	pos
Mp1g05630.1	Mp1g08960.1	-0.827452828126528	0.00014068204845552	FALSE	Mp1g05630.1	WRKY6	neg
Mp1g01010.1	Mp1g09040.1	-0.858636670641887	4.16806245375767e-05	FALSE	HD9	Mp1g09040.1	neg
Mp1g01160.1	Mp1g09040.1	0.814077159299754	0.000220853554218303	FALSE	BHLH34	Mp1g09040.1	pos
Mp1g01960.1	Mp1g09040.1	0.875041831624279	1.94822295800368e-05	FALSE	Mp1g01960.1	Mp1g09040.1	pos
Mp1g03100.1	Mp1g09040.1	0.934542158445115	3.37614594059232e-07	FALSE	TRIHELIX26	Mp1g09040.1	pos
Mp1g03200.1	Mp1g09040.1	0.939533809425967	2.0408039325126e-07	FALSE	Mp1g03200.1	Mp1g09040.1	pos
Mp1g04550.1	Mp1g09040.1	-0.915437541271435	1.70193933901608e-06	FALSE	CCAAT-NFYC1	Mp1g09040.1	neg
Mp1g06180.1	Mp1g09040.1	0.800226140806177	0.000339960904650383	FALSE	TRIHELIX18	Mp1g09040.1	pos
Mp1g07070.1	Mp1g09040.1	0.886451239418946	1.07584034862995e-05	FALSE	ARF3	Mp1g09040.1	pos
Mp1g08890.1	Mp1g09040.1	0.957890968004099	2.03144154831136e-08	FALSE	WRKY5	Mp1g09040.1	pos
Mp1g00510.1	Mp1g09420.1	-0.80604506171964	0.000284781419691793	FALSE	Mp1g00510.1	R2R3-MYB17	neg
Mp1g05630.1	Mp1g09420.1	-0.808181238887381	0.00026646542933384	FALSE	Mp1g05630.1	R2R3-MYB17	neg
Mp1g00510.1	Mp1g10020.1	0.850480398238689	5.87931451208057e-05	FALSE	Mp1g00510.1	Mp1g10020.1	pos
Mp1g01160.1	Mp1g10020.1	0.883746249250778	1.24530133742695e-05	TRUE	BHLH34	Mp1g10020.1	pos
